names,logFC_41_1:NA pharyngeal epithelium,logFC_78_0:pharyngeal gland cell,logFC_12_0:coelomocyte,logFC_4_0:BW muscles,logFC_7_2:anal and uterine muscles,logFC_4_1:BW muscles,"logFC_1_0:germline, pharyngeal muscle pm8",logFC_128_0:RIH inter neurons,logFC_30_3:rectal glands,logFC_41_0:pharyngeal gland,logFC_31_0:DTC distal tip,logFC_81_0:ADL amphid neurons,logFC_4_2:head muscle,logFC_11_0:vulva,logFC_71_0:ASG amphid neurons,logFC_68_0:NA motor neurons,logFC_99_0:ASJ amphid neurons,logFC_18_0:gonadal sheath cell,logFC_9_1:pharyngeal epithelium and marginal,logFC_138_0:PVT inter neurons,logFC_66_0:male inter neurons,logFC_2_0:posterior hypodermis,logFC_1_1:BW muscles,logFC_61_0:AVA/B inter neurons,logFC_37_0:CEP sheath,logFC_13_0:CEP socket?,logFC_9_2:pharyngeal epithelium and marginal,logFC_38_2:anal muscle,logFC_86_0:AVB inter neurons,logFC_17_0:HSN motor neurons,logFC_33_0:hypodermis,logFC_48_0:RIC inter neurons,logFC_33_1:hyp2,logFC_38_1:anal muscle,logFC_30_0:intestino-rectal valve,"logFC_26_2:pharyngeal muscle 6,7",logFC_15_0:pharyngeal arcade?,logFC_102_0:sphincter muscle,logFC_28_0:lumbar ganglion neurons,logFC_11_2:uterus vulva interface,logFC_11_1:uterus vulva interface,logFC_59_0:MI neurons,logFC_25_1:IL2 neurons,logFC_29_0:NA interneurons,logFC_126_0:M4 motor neurons,logFC_47_0:PHA/PHB amphid neurons,logFC_50_0:PVP anal neurons,logFC_34_0:NA glia,logFC_24_1:pharyngeal muscle,logFC_124_0:I4 inter neurons,logFC_137_0:PVR inter neurons,logFC_74_0:NA inter neurons,logFC_34_1:PH socket,logFC_49_0:AVD inter neurons,logFC_114_0:DVC inter neurons,logFC_88_0:NA glia,logFC_7_0:vulval muscle,logFC_27_0:NA epithelium,logFC_24_0:pharyngeal epithelium,logFC_62_0:PVQ inter neurons,logFC_95_0:M1 motor neurons,logFC_5_0:CEP socket,logFC_21_1:NA glia or tail hypodermis,logFC_104_0:AIA inter neurons,logFC_93_0:ADA inter neurons,logFC_56_0:M2 motor neurons,logFC_64_0:hypodermis,logFC_53_0:M2 motor neurons,logFC_36_0:CEP neurons,logFC_26_0:pharyngeal muscle 7,logFC_58_0:pharyngeal inter neurons 2,logFC_46_0:SIA/SIB inter neurons,logFC_92_0:AIM inter neurons,logFC_51_1:SDQ inter neurons,logFC_22_0:SIB neurons,logFC_32_0:SMD motor neurons,logFC_89_0:excretory gland cell,logFC_9_0:pharyngeal epithelium,logFC_20_2:PLM neurons,logFC_21_0:inner labial sheath,logFC_113_0:NA inter neurons,logFC_45_0:AM sheath,logFC_60_0:spermathecal-uterine valve,logFC_20_1:neurons,logFC_3_4:intestine,logFC_122_0:RIG inter neurons,logFC_77_0:ASI amphid neurons,logFC_125_0:M3 motor neurons,logFC_110_0:coelomocyte,logFC_109_0:RME motor neurons,logFC_52_0:RMD motor neurons,logFC_35_0:AFD amphid neurons,logFC_8_0:NA hypodermis,logFC_105_0:I5 inter neurons,logFC_58_1:pharyngeal inter neurons 1/3/6,logFC_54_0:PHC and PVM neurons,logFC_116_0:NSM motor neurons ,logFC_67_0:pharyngeal neurons,logFC_23_0:GLR cells,logFC_75_0:NA neurons,logFC_134_0:NA sensory neurons,logFC_20_0:touch neurons,logFC_117_0:DD motor neurons,logFC_14_1:AS/VA/SAB motor neurons,logFC_73_0:PVC inter neurons,logFC_108_0:LUA inter neurons,logFC_107_0:RMG motor neurons,logFC_96_0:M5 motor neurons,logFC_25_0:IL2 neurons,logFC_44_0:IL1 neurons ventral dorsal,logFC_6_3:motor neurons,logFC_6_1:VA/VB motor neurons,logFC_63_0:ASK amphid neurons,logFC_14_0:AS/VA motor neurons,logFC_140_0:ALA neurons,logFC_1_2:intestinal muscles,logFC_10_0:VD motor neurons,logFC_79_1:excretory cell,logFC_94_0:RMH motor neurons,logFC_100_0:OLL sensory neurons,logFC_136_0:DA/PDA tail motor neurons,logFC_42_0:NA excretory,logFC_119_0:GLR cells,logFC_38_3:NA muscle,logFC_3_0:germline,"logFC_115_0:RIV/SAA inter neurons, SMB motor neurons",logFC_6_0:motor neurons,logFC_3_1:intestine,logFC_97_0:AIB inter neurons,"logFC_7_4:inestinal, anal and uterine muscles",logFC_90_0:AUA neurons,logFC_123_0:AVF inter neurons,logFC_69_0:excretory canal neurons,logFC_72_0:OLQ sensory neurons,logFC_106_0:AWA amphid neurons,"logFC_82_0:excretory pore, hypodermis, seam, vulF",logFC_110_1:hmc head mesoderm,logFC_11_3:uterine seam cell,logFC_85_0:BAG neurons,logFC_103_0:DVA inter neurons,logFC_39_0:URX neurons,logFC_143_0:vulval muscle 1,logFC_47_1:ASH amphid neurons,logFC_70_0:PVD inter neurons,logFC_144_0:RIS inter neurons,logFC_112_0:AIA/AIY inter neurons,logFC_19_0:VC1-5 neurons,logFC_35_1:ASEL amphid neurons,logFC_39_3:RIP neurons,logFC_111_0:RMD motor neurons,logFC_127_0:NA motor neurons,"logFC_98_0:VC1-3,6 motor neurons",logFC_101_0:AWB amphid neurons,logFC_141_0:NA sheath glia,logFC_120_0:AVJ/RIM inter neurons,logFC_121_0:RIB inter neurons,logFC_65_0:URY neurons?,logFC_76_0:NA motor neurons,logFC_130_0:VD motor neurons,logFC_14_2:AS11/VA/PDB motor neurons,logFC_36_3:PDE neurons,logFC_145_0:VC motor neurons 4-5,logFC_3_5:intestine
hsp-16.2,-32.371414,-33.813374,-5.872843,-28.644083,-1.8268307,-30.720625,5.298545,1.0903778,-0.85348195,-4.2322855,-33.936016,-0.5114518,0.068001695,-35.0999,1.4242322,-0.22240639,2.2749376,0.052204,-35.065094,-3.485543,-3.2086015,-27.997444,-34.961864,1.2898221,0.33856618,-34.29261,-34.654198,-29.255688,0.4989721,-4.463155,2.5440705,-3.0233657,1.273404,0.942277,-2.4144137,0.98698425,3.8258424,-29.021572,-1.11504,-33.84235,-34.713673,-0.023071915,0.18591951,0.7870277,0.32142022,-1.5534862,-2.1455786,-0.8107011,-34.100674,4.7116604,-2.995749,-0.84650475,3.1262052,2.9608614,-5.7797656,1.4522038,-28.626154,2.581628,-34.0543,-3.492712,1.9380494,-31.355602,1.878525,-0.0707434,-2.7489831,1.0117168,-28.725328,-35.491425,2.468191,-31.25984,2.0421667,-1.6097547,-0.07703969,-2.5696583,-0.7897043,1.4008415,-30.81943,-34.2639,-1.8061819,1.108434,1.3945713,-0.37993518,-0.0772606,-3.7499418,-32.50355,2.172317,3.6153934,-0.6419585,1.4259999,1.3055278,-0.16173038,1.5205764,5.776301,-0.7247238,-0.45493087,3.5171406,1.8051871,-1.7604222,1.3753002,-3.2626758,-0.99877787,-2.7402132,-4.3579683,-2.1067371,-1.7284135,-1.5901784,1.337756,-1.7060144,-0.59055823,-2.0104766,-1.70514,-0.62048566,2.1311755,-1.0481882,-1.6050347,2.987921,-1.9679496,-1.5667708,-0.42517763,2.8249915,0.25168735,-29.743418,-0.27884558,-31.78161,3.9873714,1.9482123,-0.6470356,0.32527402,-2.277932,-4.544152,0.7421317,-3.0736535,-1.1850572,4.7759533,1.9453588,2.6740427,-1.823085,3.3138757,-0.97210246,-2.2004333,1.0558151,0.1412028,-3.8130631,1.5611913,-2.3932455,-4.9486194,-1.7382892,-2.1354907,0.06413376,-2.8802385,-2.4952474,-1.5068904,-3.4158533,1.1972563,-2.4843,-0.055152494,-1.2772675,-4.1342854,-2.0935886,12.025167,-33.32736,0.25984487,-7.270478
hsp-70,-28.552044,-31.26065,-1.7242124,-32.159092,-1.3735951,-32.809765,7.3318114,-2.5509453,-31.622742,-31.242464,-5.782597,-1.128128,-0.50793916,1.0342573,1.6564757,-0.14697553,2.0909607,-0.20902771,-31.117182,-5.7858143,-32.478115,-27.151594,1.2096219,0.63656,0.0027109543,-32.05433,-31.049744,-4.0801005,0.117608085,-7.724709,-1.2312833,-3.5467467,-0.40540013,2.773452,-2.3156576,-4.678995,-0.81901014,-36.354877,-5.0439177,-31.756012,-33.125786,0.90638787,0.47514257,2.5102885,-3.3745387,-4.6546683,-5.0989165,1.8027419,-31.082088,2.0716176,-7.442109,-0.35377342,0.060502306,3.158601,-4.2118134,2.1532621,-30.49272,1.7862532,-0.8227334,-7.1062818,-0.42913172,-25.685751,-1.2310216,-3.6481357,-3.9372973,-0.3247211,-26.101582,-30.03524,2.9430869,-2.5004103,-0.111706,-2.1784813,-1.4766977,-0.44330868,-0.067153916,0.4306677,-29.992537,-31.75539,-6.226387,-29.214804,0.67834795,-30.513422,-4.6013346,-7.2308035,-29.387333,-7.526256,0.726888,-0.9959322,-3.1879008,1.0105827,-0.37875187,1.6297457,2.2680295,-1.010458,-2.2927852,-0.342973,-0.7009135,-3.896986,3.760713,-35.35047,-2.6978238,-5.351107,-1.8664428,-0.23942898,-1.479566,-2.6212852,-4.4721127,-3.2830353,-1.5256531,-30.762548,-1.4665514,-1.4379045,-1.7919289,-0.9700013,-9.070961,2.690139,-4.8552823,30.102455,0.84963,-2.077663,-2.1336126,-27.3133,-0.33196393,0.14351884,5.6409044,3.6727207,-1.4641402,-0.16906385,-2.3906868,-0.14200562,-2.7519248,-5.576871,-3.8084931,0.15222178,-0.9800547,0.0,-3.4274976,2.768885,-1.8735318,-4.0277247,-0.53319013,-0.2475055,-4.951245,-1.1828504,-8.363643,-3.1007016,-1.3885865,-9.176605,-33.323322,-2.0074878,-2.9284492,-0.9509033,-2.55635,-27.99536,-3.3755004,-1.4637029,-0.87819135,-1.3888191,-3.2421994,-35.537197,-2.4743373,-3.8206928,-35.43117
hsp-4,-32.754105,-31.188868,-5.9700327,1.9384315,8.004311,-31.058624,-32.29141,-26.233095,10.668487,-31.307577,1.7050647,2.870833,5.081516,-0.19118722,0.53635526,5.2693334,2.5494099,1.7698317,-29.395794,12.252448,7.045107,4.812635,3.5218902,4.9371634,-27.978712,2.821503,-28.190483,-30.114862,6.062189,5.357467,-2.5343413,-0.6857064,0.20003457,37.81664,-2.539021,-28.123392,0.79260916,-30.415363,10.760288,-33.789116,-33.403427,0.068985954,-0.72728366,4.1272655,3.0234566,9.718737,9.425553,3.8566475,-29.257616,0.84533036,8.276317,2.8417363,1.0773197,1.0522752,7.910487,2.0204747,0.4561233,-0.76831937,-26.026306,11.763225,0.5466099,6.677859,-31.223152,4.5492864,-1.1640805,1.5147709,-28.095322,-29.65108,-0.07366555,-27.90143,0.1778663,6.762734,2.3680208,7.077913,5.2702417,2.5488973,-1.6852797,-29.111353,7.8057485,-0.880035,1.0279415,7.3255157,4.1015263,4.011124,0.41270038,31.2234,1.5318791,2.3301697,1.2624336,2.7365592,1.5868509,-4.1829534,-2.3431246,5.235836,6.049234,8.316734,0.06305272,3.0938835,0.96237755,10.103809,9.889635,3.204249,7.79534,1.2871011,8.409457,6.252836,2.243038,6.263362,-0.88193214,-28.939526,6.1661077,1.8178174,2.1230452,2.9685698,12.165104,3.8477712,5.600763,-0.4936922,3.1456141,-31.527418,8.859141,-28.10316,6.9920225,30.470201,-29.15191,-1.1809419,3.5478768,0.97305834,-2.1215537,6.9457912,0.9308916,7.836454,3.1762767,1.5731776,-0.07842148,-1.4353296,1.5221965,0.91854465,1.6825185,2.760817,0.006162962,-0.8619729,2.2581694,0.19752878,2.7995129,4.0172267,-1.6645341,4.305649,-3.6704888,-1.3750345,4.3599005,-1.088146,5.7946005,-2.3162549,4.354748,0.9687385,0.20593314,0.12694103,1.8866915,-31.460836,1.8078557,-0.22726016,-0.631568
gst-4,0.0,0.0,6.967684,-29.324951,-26.242401,-29.901484,-26.597725,0.0,0.0,0.0,-26.044329,0.0,0.0,0.0,-25.167099,0.0,0.0,3.9073765,-23.430042,0.0,0.0,-31.784712,-29.071568,0.0,29.155792,-25.736193,-25.44893,0.0,0.0,0.0,1.5429939,-25.111301,0.2658693,-27.272247,0.0,0.0,0.0,-25.310423,0.0,0.0,0.0,0.0,0.0,26.90604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.154215,-25.792957,0.0,-24.279446,-25.397211,0.0,-22.78974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.895216,-23.270329,0.0,-24.564444,0.0,-26.306946,0.0,0.0,0.0,0.0,-1.849621,0.0,-27.514002,0.0,0.0,0.0,-24.111414,0.0,0.0,0.0,0.0,0.0,-23.968098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.193151,-25.381,0.0,-26.07957,-24.829792,0.0,0.0,-22.941875,30.159498,0.0,0.0,-27.135511,0.0,-26.91686,0.0,-27.089458,0.0,-25.718132,1.603123,0.0,0.0,0.0,0.0,27.702532,0.0,0.0,-29.354364,0.0,0.0,0.0,-25.535088,-25.839361,-27.999584,26.532139,0.0,0.0,27.83498,0.0,0.0,-27.318285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0089471
ctl-1,0.0,-24.914112,-27.580673,0.0,0.0,-24.04834,-26.413355,0.0,34.178078,0.0,0.0,0.0,0.0,-25.53498,-25.23967,0.0,1.3349916,-27.399338,0.0,0.0,0.0,-26.538218,-27.9231,0.0,1.597995,0.0,0.0,0.0,0.0,-26.469456,-1.2369565,0.0,-2.4073627,0.0,1.1663077,0.0,0.0,0.0,-24.295212,0.0,0.0,0.0,-25.541996,0.0,0.0,-25.643667,-26.010296,0.0,0.0,0.0,0.0,-25.846615,0.0,0.0,0.0,0.0,0.0,0.0,-24.123442,-25.517649,0.0,-23.883291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.359035,0.0,0.0,0.0,0.0,1.5157951,0.0,0.0,-23.29705,-27.192097,0.0,0.0,26.436674,0.8211411,27.194569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2218697,0.0,0.0,-27.829264,-26.678568,0.0,-23.756721,0.0,0.0,0.0,0.0,-26.864923,0.0,0.0,0.0,-25.870213,0.0,0.0,0.0,0.0,0.0,0.0,-26.385046,-27.327763,-22.674189,0.0,0.0,0.0,0.0,-24.791656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.845343,27.284502,0.0,0.0,0.0,0.0,0.66014695,0.0,0.0,0.0,0.0,0.0,0.0,-27.099298,0.0,0.0,-23.53236,0.0,0.0,0.0,-27.121317,0.0,0.0,-27.795036,0.0,0.0,26.276314,0.0,0.0,0.0,0.0,0.0,0.6810087
ctl-2,0.0,0.0,-24.468239,-22.7844,0.0,-23.058016,-27.25786,0.0,-29.120836,0.0,0.0,0.0,0.0,0.0,-25.29147,0.0,0.0,0.0,-23.484547,0.0,0.0,-29.652882,0.0,25.991138,27.476765,-26.816343,-23.77911,0.0,0.0,0.0,-2.487302,-26.056236,0.37315357,0.0,-1.76956,0.0,-23.700628,0.0,-24.579458,0.0,0.0,0.0,0.0,0.0,0.0,-25.929298,0.0,-25.4807,-26.165545,0.0,0.0,0.0,-26.599962,25.476114,-26.489445,-26.908104,-24.861967,0.0,-23.955292,0.0,-26.212353,-23.63237,-26.982464,0.0,0.0,0.0,-25.004728,-24.309946,27.488598,-24.904715,0.0,0.0,26.694712,0.0,0.0,26.069746,-25.410282,0.0,0.0,-24.227636,0.0,0.0,-25.306145,0.0,0.0,0.0,-25.562431,0.0,0.0,0.0,-24.829128,0.0,0.0,0.0,-26.786686,-24.427694,0.0,0.0,1.4377345,27.448315,0.0,0.0,0.0,0.0,0.0,-26.107054,-26.723717,0.0,0.0,0.0,-24.694235,25.094364,0.0,0.72668177,0.0,0.0,1.0237104,0.0,26.39009,0.0,0.0,0.0,0.0,0.0,0.0,27.772863,25.916916,-27.869385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.900238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.733236,0.0,0.0,-26.447582,0.0,0.0,26.913458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333078
atg-18,-31.783653,-31.974274,-0.9707602,-30.425974,-1.6544393,-33.070724,1.2865511,-0.123243995,-29.907211,0.33025455,-34.709732,-2.27045,2.0430229,-31.90686,-3.1459255,-1.5071892,-1.0014224,-0.016368592,-32.80174,-1.8572574,1.9961436,-31.373114,-34.177925,0.052256487,-0.7555389,7.4877086,-32.19654,-30.138346,0.8088329,-0.86178136,-0.67475885,-0.5177623,-0.0072456207,3.6933863,-1.8304131,0.2804408,-0.38204843,-33.028862,0.03371227,3.846775,-30.79748,-1.4076103,1.1043122,-1.5866455,-1.1525627,-1.9754548,-0.7309435,0.49784747,1.0827591,-0.14842544,-1.0645671,-0.85704064,2.007478,0.018302938,-1.2408719,2.089821,-30.89222,1.2751669,-0.66999865,-1.1086601,0.8199423,-32.20238,3.5815418,-2.9101224,-2.6157935,-0.030790241,2.4569037,-31.480839,-1.2867049,-30.617805,1.2432092,-0.13423817,0.40517348,-2.8466492,0.9986542,-0.26463878,-30.89868,-0.6698153,-2.9616797,0.585984,0.38179976,1.9197978,-0.50058144,-2.510908,-30.531425,-1.8696676,-0.5969964,1.9743999,-1.8917103,-0.7144024,-0.20475775,0.9496882,-0.89432746,-2.3232698,0.008281491,-2.5804777,-0.0033124213,-0.72192323,-0.7496966,0.9480122,1.8446103,0.4973937,-0.9242073,-0.61280316,-3.1460505,0.11318621,0.43777895,-1.6359407,-1.6163114,0.36499816,0.4008836,0.14961877,-2.31869,-0.24391052,-1.3589537,1.6357756,-0.82729113,-0.7688349,-1.9908721,1.1109737,2.8507712,-31.164185,0.51152086,-0.4238742,-30.09536,-0.7247877,-0.019430654,-1.1660411,-1.3414098,0.9185666,-0.27112785,-1.051601,-0.5579807,-0.8621652,0.62567884,3.9322305,-0.063198045,0.029027035,-1.4048828,0.95609945,0.54131454,-0.11534167,-0.39872333,-0.4592939,-1.9975884,1.6342851,-0.50817394,-1.9374558,-30.335281,-0.24332531,-1.7058177,-0.074627504,0.46584213,-1.8665348,0.50242275,-0.093959756,-1.0259233,-1.3948314,-0.4424054,-32.403908,0.3547015,3.3092992,1.1676414
